turno_ordinal,turn_id,classe_turno,modulo,elegibilidade,consulta_esperada,consulta_observada,efeito_esperado,efeito_observado,estado_ativacao,chamadas_detectadas,confianca_observacao,input_tokens_expostos_nao_aditivos,tokens_totais_expostos_nao_aditivos,tokens_totais_atribuidos_fracionados,tokens_uncached_atribuidos_fracionados_aprox,latencia_exposta_segundos_nao_aditiva,latencia_atribuida_fracionada_ms,par_preparar_concluir_exato
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,reactive_pressure_routing,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,batch_world_boundary,indeterminada,,sim,,,observada,2,media,3237058,3250322,325033,5319,353.921,35393,nao
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,secret_canon,indeterminada,,sim,,,observada,1,media,3237058,3250322,325032,5318,353.921,35392,nao
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,adversarial_integrity,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,concurrent_adversarial_operations,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,underground_tournament,indeterminada,,sim,,,observada,1,media,3237058,3250322,325032,5318,353.921,35392,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,emergent_sidequest_opportunity,indeterminada,,sim,,,observada,3,media,3244728,3257243,542874,5727,326.066,54345,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,emergent_sidequest_authoring,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,active_sidequest_reassessment,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,transactional_sidequest_progress,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,sidequest_progression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,quest_rewards,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,sidequest_success_reactions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,canon_bridge,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,canonical_secret_quests,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,seven_names_migration_regression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,npc_social_initiative,indeterminada,,sim,,,observada,1,media,3244728,3257243,542874,5727,326.066,54344,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,world_local_incidents,indeterminada,,sim,,,observada,2,media,3244728,3257243,542873,5726,326.066,54344,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,persistent_world_conditions,indeterminada,,sim,,,observada,2,media,3244728,3257243,542874,5727,326.066,54344,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,liveness_boundary,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,reactive_pressure_routing,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,batch_world_boundary,indeterminada,,sim,,,observada,2,media,3244728,3257243,542874,5727,326.066,54345,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,secret_canon,indeterminada,,sim,,,observada,1,media,3244728,3257243,542874,5726,326.066,54344,nao
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,adversarial_integrity,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,concurrent_adversarial_operations,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,underground_tournament,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,emergent_sidequest_opportunity,indeterminada,,sim,,,observada,1,media,73881,76273,76273,16281,59.668,59668,sim
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,emergent_sidequest_authoring,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,active_sidequest_reassessment,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,transactional_sidequest_progress,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,sidequest_progression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,quest_rewards,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,sidequest_success_reactions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,canon_bridge,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,canonical_secret_quests,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,seven_names_migration_regression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,npc_social_initiative,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,world_local_incidents,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,persistent_world_conditions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,liveness_boundary,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,reactive_pressure_routing,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,batch_world_boundary,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,secret_canon,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,adversarial_integrity,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
